OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-2-DJARA,1998-067RW,2021-10-02T02:04:19.638624,15.67953020,.0002247,51.6413,153.4456,167.3573,192.7480,0,U,46926,999,5156,.9172E-3,.10427E-2,0
DESCENT,1998-067RX,2021-10-01T21:06:08.725824,15.56824001,.0002903,51.6407,164.7758,146.9058,213.2116,0,U,46927,999,5136,.35855E-3,.25807E-3,0
ISS DEB,1998-067RZ,2021-10-02T02:33:28.419552,15.50022309,.0003346,51.6429,173.0182,121.1525,238.9792,0,U,47853,999,3180,.87173E-4,.4526E-4,0
RSP-01,1998-067SB,2021-10-01T21:12:14.763744,15.54266374,.0002654,51.6416,170.7928,94.7567,265.3727,0,U,47925,999,3131,.43193E-3,.2836E-3,0
TAUSAT-1,1998-067SC,2021-10-01T09:57:19.946880,15.55418515,.0003569,51.6400,172.1541,89.4880,270.6521,0,U,47926,999,3124,.53634E-3,.36915E-3,0
TSURU,1998-067SD,2021-10-01T03:14:12.903648,15.53816363,.0002683,51.6416,174.7925,88.6470,271.4828,0,U,47927,999,3119,.42941E-3,.27726E-3,0
STARS-EC,1998-067SE,2021-10-01T17:34:33.468384,15.55139098,.0006325,51.6408,171.2727,144.5415,215.5998,0,U,47928,999,3127,.57659E-3,.39345E-3,0
MMSATS-1,1998-067SJ,2021-10-01T22:21:49.832064,15.50839734,.0003493,51.6454,173.3244,124.0060,236.1261,0,U,47976,999,3006,.14169E-3,.7879E-4,0
SOYUZ-MS 18,2021-029A,2021-10-01T06:11:45.728160,15.48887264,.0004287,51.6450,178.2593,46.8394,104.8068,0,U,48159,999,2711,.10377E-3,.5249E-4,0
CREW DRAGON 2,2021-030A,2021-10-01T06:11:45.728160,15.48887264,.0004287,51.6450,178.2593,46.8394,104.8068,0,U,48209,999,2536,.10377E-3,.5249E-4,0
TIANHE,2021-035A,2021-10-02T04:57:06.856704,15.61386302,.0000675,41.4714,350.2625,343.6520,221.3050,0,U,48274,999,2443,.66201E-4,.547E-4,0
TIANZHOU-2,2021-046A,2021-10-01T12:48:25.714080,15.61378428,.0000947,41.4715,354.3609,343.7614,35.0327,0,U,48803,999,2433,.65818E-4,.5434E-4,0
RAMSAT,1998-067SL,2021-10-01T10:33:01.113408,15.51353764,.0004719,51.6418,176.0470,163.0564,197.0584,0,U,48850,999,1695,.29503E-3,.17247E-3,0
SOAR,1998-067SM,2021-10-02T02:30:19.587168,15.55465813,.000575,51.6390,171.4771,160.6216,199.4995,0,U,48851,999,1711,.11026E-2,.76957E-3,0
BD-28,1998-067SP,2021-10-01T21:10:26.950368,15.51650606,.0003085,51.6414,173.7564,189.9094,170.1835,0,U,48867,999,1577,.33459E-3,.19838E-3,0
MIR-SAT 1,1998-067SN,2021-10-01T03:41:44.064672,15.52827910,.000381,51.6407,177.1417,156.0251,204.0917,0,U,48868,999,1569,.64388E-3,.40399E-3,0
PROGRESS-MS 17,2021-057A,2021-10-01T06:11:45.728160,15.48887264,.0004287,51.6450,178.2593,46.8394,104.8068,0,U,48869,999,1446,.10377E-3,.5249E-4,0
ISS (NAUKA),2021-066A,2021-10-01T06:11:45.728160,15.48887264,.0004287,51.6450,178.2593,46.8394,104.8068,0,U,49044,999,30503,.10377E-3,.5249E-4,0
CYGNUS NG-16,2021-072A,2021-10-01T06:11:45.728160,15.48887264,.0004287,51.6450,178.2593,46.8394,104.8068,0,U,49064,999,796,.10377E-3,.5249E-4,0
