OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BG,2021-10-01T21:48:02.944224,14.39513305,.005761,73.9860,224.5419,300.8482,114.2773,0,U,33815,999,66027,.55513E-3,.1738E-4,0
COSMOS 2251 DEB,1993-036BH,2021-10-01T19:55:41.741472,13.78538322,.0274045,73.8979,175.2765,116.9123,246.0283,0,U,33816,999,63529,.24451E-3,.306E-5,0
COSMOS 2251 DEB,1993-036BJ,2021-10-01T20:36:29.952864,14.70253049,.0057112,74.0702,201.1618,317.4090,42.2658,0,U,33817,999,67446,.42383E-3,.2588E-4,0
COSMOS 2251 DEB,1993-036BK,2021-10-01T19:29:12.822144,14.62983918,.007492,74.0965,283.0213,337.3505,195.2417,0,U,33818,999,67226,.31166E-3,.1631E-4,0
COSMOS 2251 DEB,1993-036BL,2021-10-01T21:48:43.509024,14.24765834,.0099135,74.1812,81.8069,10.7345,102.2587,0,U,33819,999,65620,.20065E-3,.468E-5,0
COSMOS 2251 DEB,1993-036BN,2021-10-01T16:18:50.140800,14.82194613,.012391,74.0550,356.4246,86.6309,32.4110,0,U,33821,999,52081,.1371E-3,.121E-4,0
COSMOS 2251 DEB,1993-036BP,2021-10-01T15:52:14.306016,14.02002572,.0179179,74.0799,349.3571,48.3389,66.6562,0,U,33822,999,64502,.20807E-3,.342E-5,0
COSMOS 2251 DEB,1993-036BQ,2021-10-01T19:59:17.280096,13.94026863,.0221989,73.8115,302.7919,331.4120,205.9550,0,U,33823,999,64217,.27281E-3,.416E-5,0
COSMOS 2251 DEB,1993-036BR,2021-10-01T15:41:30.492960,14.67097025,.0087806,74.0202,236.9815,356.7501,175.8493,0,U,33824,999,67235,.2788E-3,.1624E-4,0
COSMOS 2251 DEB,1993-036BS,2021-10-01T21:26:03.047712,14.47919580,.011883,73.9939,61.6932,36.5897,78.8619,0,U,33825,999,66574,.24308E-3,.955E-5,0
COSMOS 2251 DEB,1993-036BT,2021-10-02T00:20:25.160640,14.30183429,.0118843,74.0673,348.2762,58.8602,73.0207,0,U,33826,999,65738,.19967E-3,.533E-5,0
COSMOS 2251 DEB,1993-036BV,2021-10-02T02:12:21.861216,14.38048518,.0033339,74.0506,190.2161,283.8529,187.2442,0,U,33828,999,66251,.12121E-3,.343E-5,0
COSMOS 2251 DEB,1993-036BX,2021-10-02T02:08:50.858592,14.58189134,.0056092,74.0397,297.8021,90.0303,330.5183,0,U,33830,999,67076,.15435E-3,.697E-5,0
COSMOS 2251 DEB,1993-036BZ,2021-10-01T21:12:37.963872,14.40810492,.0038533,74.0616,195.0331,254.3338,169.1824,0,U,33832,999,66254,.30488E-3,.958E-5,0
COSMOS 2251 DEB,1993-036CB,2021-10-01T12:19:56.843904,14.71816708,.0062996,74.0739,180.9238,281.6130,253.8733,0,U,33834,999,67496,.25556E-3,.1613E-4,0
COSMOS 2251 DEB,1993-036CC,2021-10-01T20:39:50.152896,14.46291879,.0075892,74.0620,105.5488,193.1387,229.4257,0,U,33835,999,66538,.20898E-3,.748E-5,0
COSMOS 2251 DEB,1993-036CD,2021-10-01T22:08:18.612960,14.55518320,.0035755,74.0063,327.7115,199.1903,335.9043,0,U,33836,999,41660,.21345E-3,.908E-5,0
COSMOS 2251 DEB,1993-036CE,2021-10-01T19:04:07.486176,14.46299223,.0037602,74.0145,49.0433,282.1513,77.5433,0,U,33837,999,66607,.74422E-4,.241E-5,0
COSMOS 2251 DEB,1993-036CF,2021-10-01T21:47:10.398336,14.42343875,.0030353,74.0380,123.1981,262.6873,204.2917,0,U,33838,999,66433,.10993E-3,.338E-5,0
COSMOS 2251 DEB,1993-036CG,2021-10-02T00:49:30.569376,14.58617798,.0092003,74.0405,254.7368,38.0096,23.4376,0,U,33839,999,67212,.84241E-4,.384E-5,0
COSMOS 2251 DEB,1993-036CJ,2021-10-01T23:05:41.637408,14.35001389,.0022627,74.0393,212.1462,308.0340,126.5999,0,U,33841,999,66158,.69816E-4,.173E-5,0
COSMOS 2251 DEB,1993-036CK,2021-10-01T19:59:56.159232,14.38241907,.0051105,74.0366,172.3531,295.0559,64.5295,0,U,33842,999,66272,.80071E-4,.22E-5,0
COSMOS 2251 DEB,1993-036CL,2021-10-01T18:30:39.470688,14.56753049,.0197421,73.9880,24.4422,185.7743,174.1148,0,U,33843,999,66641,.90911E-3,.5277E-4,0
COSMOS 2251 DEB,1993-036CM,2021-10-01T21:19:41.736000,14.28996958,.0052947,74.0678,318.1108,2.9205,171.3810,0,U,33844,999,65801,.12572E-3,.297E-5,0
COSMOS 2251 DEB,1993-036CN,2021-10-01T16:56:31.352352,14.89160798,.0037255,74.0376,262.3784,295.0824,64.6492,0,U,33845,999,67165,.25107E-2,.24073E-3,0
COSMOS 2251 DEB,1993-036CR,2021-10-02T02:49:04.504800,14.31636705,.0054626,74.0345,293.3308,1.9012,54.0094,0,U,33848,999,65877,.31044E-3,.815E-5,0
COSMOS 2251 DEB,1993-036CS,2021-10-01T16:43:39.977472,15.32623360,.0018114,74.0827,266.3078,255.0309,104.8890,0,U,33889,999,68387,.27031E-2,.86559E-3,0
COSMOS 2251 DEB,1993-036CT,2021-10-01T21:33:18.634176,14.57128898,.0044122,74.0181,339.6650,129.8011,230.7051,0,U,33890,999,66829,.33791E-3,.1514E-4,0
COSMOS 2251 DEB,1993-036CV,2021-10-01T16:51:23.406336,14.17020557,.0126066,73.8077,0.9551,303.7636,176.8180,0,U,33892,999,65202,.95476E-4,.18E-5,0
COSMOS 2251 DEB,1993-036CW,2021-10-01T20:06:16.383168,14.66192033,.0148462,74.0278,52.0067,143.5902,337.6142,0,U,33893,999,66617,.22914E-2,.14862E-3,0
COSMOS 2251 DEB,1993-036CX,2021-10-02T00:41:24.539136,13.15026071,.0596288,73.7720,184.7982,320.1589,35.7114,0,U,33894,999,60522,.44553E-3,.389E-5,0
COSMOS 2251 DEB,1993-036CZ,2021-10-01T19:38:34.008288,14.12597136,.0135937,73.7731,41.6036,112.4244,7.6044,0,U,33896,999,65055,.10304E-3,.183E-5,0
COSMOS 2251 DEB,1993-036DC,2021-10-01T21:58:25.451904,14.46985450,.0076139,74.0564,91.3824,185.8524,294.2972,0,U,33899,999,66587,.17434E-3,.629E-5,0
COSMOS 2251 DEB,1993-036DD,2021-10-02T00:46:15.045312,14.49935692,.0055035,74.0236,15.6429,184.4027,349.9867,0,U,33900,999,66783,.12737E-3,.473E-5,0
COSMOS 2251 DEB,1993-036DE,2021-10-02T01:57:16.187904,14.58389569,.0117081,73.7883,209.7998,261.1510,97.6383,0,U,33901,999,66928,.35881E-3,.1792E-4,0
COSMOS 2251 DEB,1993-036DJ,2021-10-02T01:23:17.012256,14.27993795,.0061734,73.8873,252.4689,90.4198,338.6278,0,U,33905,999,65770,.21477E-3,.517E-5,0
COSMOS 2251 DEB,1993-036DK,2021-10-01T11:31:30.886176,14.34134646,.0056458,74.0363,285.6633,335.0390,187.0543,0,U,33906,999,65902,.44179E-3,.1233E-4,0
COSMOS 2251 DEB,1993-036DL,2021-10-01T23:28:49.356192,14.11279600,.0158231,74.0664,243.6031,318.3909,96.7134,0,U,33907,999,64844,.64334E-3,.1281E-4,0
COSMOS 2251 DEB,1993-036DM,2021-10-01T16:07:58.070496,13.93086574,.0263578,73.8458,6.2807,306.8860,50.8368,0,U,33908,999,64042,.96435E-3,.1644E-4,0
COSMOS 2251 DEB,1993-036DQ,2021-10-01T08:27:48.276576,14.44969399,.0025208,74.1035,173.7288,181.0994,339.8749,0,U,33911,999,66342,.30964E-3,.1058E-4,0
COSMOS 2251 DEB,1993-036DR,2021-10-01T20:08:48.519744,14.40721335,.0015265,74.0402,164.7010,256.5906,180.5075,0,U,33912,999,66308,.23751E-3,.734E-5,0
COSMOS 2251 DEB,1993-036DS,2021-10-01T18:19:23.242944,14.40610484,.0054797,74.0369,153.2236,272.8145,149.0067,0,U,33913,999,66335,.13864E-3,.423E-5,0
COSMOS 2251 DEB,1993-036DT,2021-10-01T16:54:59.637024,13.69351880,.0311296,74.0929,15.5485,112.6928,356.7161,0,U,33914,999,63079,.11816E-3,.125E-5,0
COSMOS 2251 DEB,1993-036DU,2021-10-01T21:03:55.988640,14.29173295,.0115035,74.0441,306.9036,52.4092,121.7052,0,U,33915,999,65823,.11937E-3,.3E-5,0
COSMOS 2251 DEB,1993-036DV,2021-10-01T18:30:17.309952,13.66408645,.0329362,74.0549,33.7809,184.9396,293.9820,0,U,33916,999,62938,.22623E-3,.25E-5,0
COSMOS 2251 DEB,1993-036DW,2021-10-01T21:12:35.658720,13.63949386,.034791,74.1043,102.5783,201.3772,157.2509,0,U,33917,999,62800,.27069E-3,.303E-5,0
COSMOS 2251 DEB,1993-036DX,2021-10-01T21:09:22.607424,14.77147791,.0054768,74.0602,192.9663,262.3202,166.4395,0,U,33918,999,67432,.62085E-3,.4469E-4,0
COSMOS 2251 DEB,1993-036DY,2021-10-01T17:02:32.159616,14.57782710,.0029437,74.0537,15.7663,110.6278,249.8048,0,U,33919,999,66789,.50127E-3,.2277E-4,0
COSMOS 2251 DEB,1993-036DZ,2021-10-01T10:02:58.888896,14.36431643,.0056837,74.0678,265.9197,305.2958,54.2886,0,U,33920,999,65979,.4162E-3,.1216E-4,0
COSMOS 2251 DEB,1993-036EA,2021-10-02T00:49:03.446688,14.96895226,.0006959,74.0031,133.5558,208.9856,151.0943,0,U,33921,999,67512,.22936E-2,.26404E-3,0
COSMOS 2251 DEB,1993-036EB,2021-10-01T20:35:31.606944,14.42970128,.0025863,74.0494,123.0603,254.9312,117.6613,0,U,33922,999,66429,.99405E-4,.307E-5,0
COSMOS 2251 DEB,1993-036ED,2021-10-01T21:06:31.887072,13.47534109,.0412075,73.9158,207.1273,162.8227,198.7318,0,U,33924,999,62074,.20336E-3,.189E-5,0
COSMOS 2251 DEB,1993-036EH,2021-10-01T19:00:04.704768,14.43150132,.006588,73.9274,46.5710,315.3384,44.2476,0,U,33928,999,66505,.7157E-4,.218E-5,0
