OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CYGFM01,2016-078D,2021-10-01T15:55:55.891776,15.14962564,.0016784,34.9546,13.7533,294.9496,64.9472,0,U,41887,999,26545,.69866E-4,.1305E-4,0
CYGFM08,2016-078E,2021-10-01T15:46:29.741952,15.15383918,.0015913,34.9515,7.5875,304.3331,55.5874,0,U,41888,999,26557,.70532E-4,.1333E-4,0
CYGFM06,2016-078F,2021-10-01T13:12:14.337216,15.15677033,.0014356,34.9596,3.9542,302.6655,57.2672,0,U,41889,999,26553,.70548E-4,.1344E-4,0
CYGFM07,2016-078G,2021-10-01T14:16:42.078144,15.15672239,.0014113,34.9533,2.5552,306.8663,53.0754,0,U,41890,999,26552,.68517E-4,.1304E-4,0
CYGFM03,2016-078H,2021-10-01T12:38:33.288288,15.15667814,.0013628,34.9567,3.3745,304.5662,55.3763,0,U,41891,999,26565,.68395E-4,.1301E-4,0
FENGYUN 3D,2017-072A,2021-10-02T02:54:14.626368,14.19778169,.0001809,98.7957,216.3253,126.9017,233.2331,0,U,43010,999,20112,.22317E-4,.3E-7,0
NOAA 20,2017-073A,2021-10-02T02:36:42.091200,14.19555389,.0001398,98.7261,212.1536,79.1581,280.9752,0,U,43013,999,20057,.25805E-4,.11E-6,0
GOES 17,2018-022A,2021-10-01T16:31:33.026016,1.00267918,.0000084,0.0583,294.7100,250.6869,295.9318,0,U,43226,999,1317,0,.95E-6,0
FENGYUN 2H,2018-050A,2021-10-01T19:30:42.749856,1.00276301,.0003796,0.4969,105.1783,41.0681,236.1076,0,U,43491,999,1219,0,-.129E-5,0
METOP-C,2018-087A,2021-10-02T02:45:42.741792,14.21480339,.0003932,98.7239,333.7415,75.3898,284.7715,0,U,43689,999,15060,.38064E-4,.39E-6,0
GEO-KOMPSAT-2A,2018-100A,2021-10-01T17:47:47.162976,1.00272736,.0001865,0.0362,311.6725,289.4157,164.8296,0,U,43823,999,1037,0,-.346E-5,0
METEOR-M2 2,2019-038A,2021-10-02T03:45:45.461952,14.23691528,.0001029,98.6822,233.5577,0.3356,359.7827,0,U,44387,999,11665,.95793E-5,-.22E-6,0
FENGYUN 3E,2021-062A,2021-10-02T02:09:46.373184,14.19812695,.0002629,98.7063,276.2020,47.0701,313.0693,0,U,49008,999,1265,.45819E-5,-.34E-6,0
